Rank	Team	W	L	AdjORank	AdjDRank	LuckRank
1	Kentucky	34	0	5	2	55
2	Kansas	26	8	37	7	24
3	NotreDame	29	5	2	112	45
4	Maryland	27	6	55	36	2
5	WestVirginia	23	9	33	47	63
6	Butler	22	10	67	10	218
7	WichitaSt.	28	4	20	15	138
8	Cincinnati	22	10	76	18	246
9	Purdue	21	12	57	69	159
10	Indiana	20	13	10	216	255
11	Texas	20	13	42	19	325
12	Buffalo	23	9	47	94	155
13	Valparaiso	28	5	129	31	36
14	Northeastern	23	11	90	171	88
15	NewMexicoSt.	23	10	120	87	300
16	Manhattan	19	13	196	109	179
