rank	KenPRank	Team	Conf	W	L	Pyth	AdjO	AdjORank	AdjD	AdjDRank	AdjT	AdjTRank	Luck	LuckRank	SOSPyth	SOSPythRank	SOSOppO	SOSOppORank	SOSOppD	SOSOppDRank	NCSOSPyth	NCSOSPythRank
1	7	Duke	ACC	29	4	0.9396	122.1	3	96.1	57	66.2	103	0.067	41	0.7071	16	107.1	8	99.2	35	0.5506	111
2	6	Gonzaga	WCC	32	2	0.944	119.4	6	93.4	20	65.1	153	0.013	152	0.5942	83	104.7	74	101.2	114	0.6053	46
3	13	IowaSt.	B12	25	8	0.9048	118.9	7	97.7	82	69.6	15	0.023	131	0.7321	7	106.4	20	97.5	5	0.4612	223
4	22	Georgetown	BE	21	10	0.867	110.3	41	93.7	25	64.4	187	-0.002	188	0.7229	11	107.6	4	99	27	0.5907	73
5	8	Utah	P12	24	8	0.9276	113	18	90.6	8	61.2	322	-0.056	307	0.6592	48	105.5	44	99.6	48	0.5206	151
6	19	SMU	Amer	27	6	0.8733	112.1	27	94.8	41	63.9	224	0.014	146	0.5773	92	103.3	104	100.5	87	0.5616	102
7	24	Iowa	B10	21	11	0.8595	111.2	35	95	44	64.3	198	-0.003	191	0.6671	42	105.5	45	99.3	40	0.4744	204
8	27	SanDiegoSt.	MWC	26	8	0.8469	102.4	161	88.3	4	60.7	334	0.014	144	0.5766	93	103.6	100	100.8	101	0.6004	54
9	42	St.John's	BE	21	11	0.802	108.1	62	95.7	51	67.1	61	0.058	54	0.6807	31	106.4	19	99.6	47	0.4638	218
10	32	Davidson	A10	24	7	0.832	118.5	8	103.1	181	67	68	0.037	87	0.5726	95	103	115	100.4	84	0.4547	231
11	41	UCLA	P12	20	13	0.8056	110.2	45	97.4	76	66	111	0.026	122	0.6876	25	105.2	59	98.2	12	0.584	77
12	35	StephenF.Austin	Slnd	29	4	0.8183	113	19	99.1	104	66.8	75	0.03	112	0.3982	269	101.1	223	104.8	290	0.5586	107
13	136	EasternWashington	BSky	26	8	0.5619	110	46	107.7	279	68.8	24	0.074	32	0.4045	260	102.4	145	105.9	331	0.5972	58
14	121	UAB	CUSA	19	15	0.598	103.8	130	100.3	130	65	159	0.011	156	0.5002	147	101.5	202	101.4	122	0.593	70
15	151	NorthDakotaSt.	Sum	23	9	0.526	101	194	100.1	124	61.2	321	0.117	7	0.3859	283	100.6	261	104.8	281	0.4001	288
16	173	RobertMorris	NEC	19	14	0.4633	101	191	102.3	170	65.6	131	0.037	86	0.3861	282	100.6	262	104.7	279	0.5772	89
