rank	Team	W	L	AdjORank	AdjDRank	LuckRank
1	Wisconsin	30	3	1	29	170
2	Arizona	31	3	11	3	250
3	Baylor	24	9	13	33	226
4	NorthCarolina	24	11	12	45	267
5	Arkansas	26	8	21	81	67
6	Xavier	21	13	28	55	317
7	VCU	26	9	61	23	51
8	Oregon	25	9	16	134	4
9	OklahomaSt.	18	13	49	58	265
10	OhioSt.	23	10	29	40	298
11	BYU	25	9	9	139	280
12	Wofford	28	6	143	78	1
13	Harvard	22	7	171	34	9
14	GeorgiaSt.	24	9	58	106	202
15	TexasSouthern	22	12	177	220	3
16	CoastalCarolina	24	9	136	164	173
