rank	Team	W	L	AdjORank	AdjDRank	LuckRank
1	Villanova	32	2	4	13	73
2	Virginia	29	3	26	1	103
3	Oklahoma	22	10	50	5	288
4	Louisville	24	8	95	6	121
5	NorthernIowa	30	3	15	16	157
6	Providence	22	11	38	48	74
7	MichiganSt.	23	10	14	52	299
8	NorthCarolinaSt.	20	13	30	89	229
9	LSU	22	10	75	37	247
10	Georgia	21	11	74	28	158
11	BoiseSt.	25	8	48	64	119
12	Wyoming	25	9	175	67	21
13	UCIrvine	21	12	123	92	200
14	Albany	24	8	117	155	49
15	Belmont	22	10	64	258	34
16	LouisianaLafayette	20	13	135	140	318
